satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
0.15,0.96,6,298,4,0,0,0,marketing,medium
0.66,0.98,4,165,2,0,0,0,sales,medium
0.62,0.92,3,196,2,0,0,0,technical,medium
0.92,0.68,3,242,2,0,0,0,sales,medium
0.52,0.94,4,196,5,0,0,0,sales,medium
0.88,0.63,3,233,3,0,0,0,technical,low
0.59,0.66,3,158,2,0,0,0,product_mng,low
0.62,0.94,5,171,5,0,1,0,technical,low
0.48,0.45,3,138,3,1,0,0,accounting,medium
0.9,0.52,4,223,2,0,1,0,marketing,high
0.83,0.96,5,144,5,1,1,0,technical,medium
0.55,0.72,3,240,4,1,0,0,sales,low
0.52,0.49,5,201,2,0,0,0,technical,low
0.61,0.55,3,271,2,0,0,0,technical,low
0.09,0.79,4,200,4,0,0,0,hr,low
0.15,0.99,5,259,5,0,0,0,sales,medium
0.59,0.66,3,236,3,0,0,0,technical,low
0.14,0.67,3,267,2,0,0,0,sales,high
0.15,0.87,3,252,2,0,0,0,sales,low
0.13,0.98,6,310,4,0,0,0,technical,low
0.58,0.91,3,222,2,0,0,0,support,medium
0.44,0.51,2,149,3,0,1,0,technical,low
0.92,0.88,3,207,2,0,0,0,sales,medium
0.73,0.55,3,207,3,0,0,0,sales,medium
0.8,0.49,2,231,5,0,0,0,sales,low
0.64,0.51,4,244,2,1,0,0,sales,low
0.69,0.54,5,151,2,0,0,0,sales,medium
0.11,1.0,6,258,3,0,1,0,support,low
0.54,0.54,4,147,3,1,1,0,technical,low
0.66,0.94,5,265,4,0,0,0,support,medium
0.19,0.99,4,205,5,0,1,0,technical,low
0.09,0.92,6,299,5,0,1,0,support,low
0.14,0.77,6,278,4,0,1,0,product_mng,low
0.48,0.98,4,137,2,0,0,0,sales,medium
0.37,0.5,2,154,3,0,1,0,sales,low
0.54,0.63,5,225,2,0,0,0,technical,medium
0.09,0.96,7,298,4,0,1,0,hr,low
0.09,0.9,7,310,4,0,1,0,technical,low
0.47,0.52,2,146,3,1,1,0,technical,low
0.7,0.48,4,134,2,0,0,0,sales,medium
0.36,0.51,2,138,6,0,1,0,support,low
0.39,0.52,2,164,3,0,1,0,product_mng,high
0.38,0.54,2,135,3,0,1,0,technical,low
0.33,0.49,2,162,3,0,1,0,technical,low
0.41,0.55,5,147,3,0,0,0,technical,high
0.09,0.95,4,189,5,0,1,0,technical,medium
0.41,0.56,2,154,5,0,1,0,sales,low
0.71,0.67,4,219,2,0,0,0,IT,medium
0.65,0.71,3,233,2,0,0,0,hr,low
0.79,0.71,2,138,3,1,1,0,support,medium
0.56,0.53,2,240,2,0,0,0,technical,medium
0.58,0.63,3,170,2,0,0,0,marketing,medium
0.55,0.46,5,201,3,0,0,0,technical,low
0.38,0.55,2,174,3,0,0,0,sales,low
0.52,0.71,5,222,5,0,0,0,sales,medium
0.51,0.62,3,184,2,0,0,1,RandD,high
0.6,0.99,4,201,5,1,0,1,sales,medium
0.65,0.92,4,280,2,0,0,0,sales,medium
0.1,0.91,6,263,4,1,0,0,sales,low
0.71,0.89,4,166,2,0,0,0,sales,medium
0.82,0.89,4,255,3,0,0,0,technical,high
0.66,0.87,4,251,3,0,0,0,sales,medium
0.09,0.98,5,273,5,0,1,0,technical,medium
0.19,0.72,5,237,4,1,0,0,sales,low
0.93,0.97,5,229,5,0,0,0,accounting,low
0.8,0.81,5,176,2,0,0,0,IT,low
0.62,0.97,3,142,3,0,0,0,sales,medium
0.62,0.67,3,229,2,0,0,0,technical,medium
0.72,0.71,4,254,3,0,0,0,hr,low
0.61,0.67,3,161,2,0,0,0,RandD,high
0.17,0.49,3,266,2,0,0,0,marketing,high
0.35,0.52,2,149,3,0,1,0,sales,low
0.09,0.55,7,279,5,0,1,0,sales,low
0.79,0.69,4,268,2,0,0,0,sales,high
0.09,0.86,6,258,4,0,0,0,IT,low
0.65,0.53,5,262,3,0,0,0,sales,medium
0.54,0.52,5,222,3,0,0,0,product_mng,low
0.51,0.56,3,184,2,0,0,0,sales,high
0.8,0.51,4,168,3,1,1,0,sales,high
0.81,0.62,3,193,2,0,0,0,sales,low
0.67,0.96,4,231,5,0,1,0,sales,medium
0.85,0.88,4,221,2,0,0,0,support,medium
0.55,0.86,3,278,2,0,0,0,management,high
0.24,0.8,5,235,4,0,0,0,marketing,medium
0.72,0.66,3,202,2,0,0,0,support,medium
0.52,0.64,2,165,3,0,0,0,IT,medium
0.28,0.7,2,148,3,0,1,0,technical,low
0.37,0.45,2,139,3,0,0,0,support,low
0.58,0.61,4,142,3,0,0,0,RandD,low
0.93,0.54,5,225,2,1,1,0,technical,low
0.76,0.88,4,275,5,0,0,0,technical,low
0.68,0.6,5,210,3,0,0,0,marketing,medium
0.14,0.89,3,211,4,0,0,0,management,medium
0.2,0.91,4,191,8,0,0,0,sales,low
0.95,0.57,4,245,2,0,0,0,technical,low
0.82,0.99,5,255,5,0,0,0,sales,medium
0.73,0.47,4,145,3,0,1,0,sales,medium
0.37,0.5,2,126,3,0,1,0,sales,medium
0.74,0.99,4,147,3,0,0,0,sales,medium
0.51,0.48,5,233,2,1,0,0,technical,low
0.63,0.54,5,139,3,0,1,0,technical,low
0.09,0.86,6,298,4,0,1,0,hr,low
0.65,0.91,4,240,6,0,1,0,sales,low
0.72,0.54,5,144,3,0,1,0,support,low
0.45,0.81,5,254,3,0,0,0,hr,low
0.56,0.95,4,204,4,0,0,0,sales,low
0.76,0.63,4,237,2,0,0,0,management,low
0.84,0.63,5,146,3,0,0,0,marketing,medium
0.2,0.93,5,226,2,0,0,0,hr,low
0.71,0.54,4,158,2,1,0,0,sales,high
0.68,0.66,4,141,3,0,0,0,sales,medium
0.56,0.69,4,239,2,0,0,0,RandD,medium
0.49,0.88,3,186,2,0,0,0,technical,low
0.68,0.91,4,275,3,0,0,0,IT,medium
0.8,0.76,4,189,3,0,0,0,sales,high
0.95,0.68,2,147,3,0,0,0,support,low
0.24,0.98,6,236,2,0,1,0,sales,medium
0.82,0.64,4,266,3,0,0,0,sales,low
0.66,0.86,3,189,2,0,0,0,technical,high
0.9,0.51,3,172,2,0,0,0,sales,medium
0.48,0.69,3,177,3,0,0,0,support,low
0.48,0.63,4,188,2,0,0,0,sales,low
0.34,0.53,2,142,3,0,1,0,technical,low
0.41,0.61,2,141,4,0,1,0,sales,low
0.32,0.55,2,148,3,0,0,0,sales,medium
0.61,0.65,4,205,3,0,1,0,technical,low
0.38,0.49,2,160,6,0,1,0,sales,medium
0.39,0.54,2,142,3,0,1,0,sales,medium
0.44,0.59,2,146,3,0,0,0,support,low
0.67,0.93,4,247,2,0,0,0,technical,medium
0.1,0.97,7,290,4,0,1,0,technical,low
0.81,0.85,3,278,4,0,1,0,support,low
0.39,0.5,2,146,3,0,1,0,support,low
0.35,0.51,4,180,3,0,0,0,technical,low
0.71,1.0,4,228,3,0,1,0,sales,medium
0.47,0.52,4,141,3,0,0,0,support,medium
0.67,0.86,4,141,3,1,0,0,sales,low
0.35,0.39,2,200,3,0,1,0,sales,low
0.09,0.86,7,310,4,1,1,0,hr,medium
0.91,0.92,3,235,3,0,0,0,technical,low
0.67,0.68,5,191,2,0,0,0,RandD,medium
0.43,0.58,4,231,2,0,0,0,support,low
0.62,0.88,5,206,3,0,1,0,sales,low
0.52,0.67,4,189,3,0,0,1,sales,medium
0.37,0.49,2,269,3,0,1,0,product_mng,medium
0.91,0.92,7,271,4,0,1,0,product_mng,low
0.9,0.55,4,242,8,0,0,0,RandD,medium
0.72,0.58,4,193,5,0,1,0,product_mng,low
0.62,0.53,4,174,3,0,0,0,hr,medium
0.83,0.53,3,185,3,0,0,0,support,low
0.37,0.52,5,163,3,0,0,0,support,low
0.64,0.79,5,238,2,0,0,0,management,high
0.81,0.62,4,253,6,0,0,0,hr,medium
0.64,0.74,5,256,4,0,0,0,management,high
0.55,0.88,5,193,2,0,0,0,support,low
0.1,0.86,6,258,2,0,0,0,management,high
0.5,0.8,3,165,3,0,0,0,technical,low
0.52,0.5,3,190,10,0,0,0,sales,low
0.52,0.52,4,187,3,0,1,0,sales,low
0.92,0.91,5,271,6,0,0,0,management,low
0.12,0.91,3,249,4,0,0,0,technical,low
0.47,0.62,5,147,3,0,0,0,sales,low
0.72,0.66,4,229,3,0,0,0,support,low
0.52,0.63,4,235,5,0,0,0,product_mng,medium
0.42,0.69,3,222,2,0,0,0,RandD,medium
0.6,1.0,5,163,3,0,1,0,sales,medium
0.38,0.51,2,138,3,0,1,0,sales,low
0.94,0.65,4,198,3,0,0,0,sales,medium
0.84,0.94,4,187,3,0,0,0,sales,low
0.55,0.69,3,274,2,0,0,0,sales,low
0.61,1.0,5,194,3,0,0,0,RandD,medium
0.47,0.49,2,147,3,0,0,0,hr,low
0.49,0.88,4,242,2,0,0,0,technical,low
0.18,0.88,4,145,5,1,0,0,technical,medium
0.7,0.48,2,147,3,0,1,0,RandD,medium
0.91,0.61,3,212,2,0,0,0,sales,low
0.73,0.92,5,256,4,0,1,0,management,high
0.67,0.96,5,263,6,0,0,0,sales,low
0.48,0.53,5,163,2,0,0,0,management,medium
0.63,0.55,2,182,3,0,0,0,accounting,low
0.24,0.97,6,281,5,0,1,0,technical,medium
0.87,0.91,4,185,4,0,0,0,RandD,medium
0.57,0.79,3,205,8,0,0,0,sales,low
0.5,0.68,3,146,3,0,0,0,RandD,medium
0.64,0.93,4,267,2,0,0,0,marketing,high
0.55,0.55,4,193,4,0,0,0,sales,medium
0.67,0.78,3,199,2,1,0,0,sales,low
0.64,0.57,4,227,3,0,0,0,support,low
0.94,0.91,4,243,3,0,0,0,sales,low
0.62,0.54,5,147,5,0,1,0,technical,low
0.68,0.98,3,249,3,0,0,0,sales,low
0.34,0.55,2,146,3,0,1,0,technical,low
0.37,0.57,2,189,2,0,1,0,sales,low
0.22,0.56,5,181,5,0,1,0,product_mng,low
0.73,0.68,4,272,3,0,0,0,sales,low
0.35,0.51,2,165,3,0,1,0,technical,low
0.53,0.51,4,108,3,0,0,0,RandD,low
0.51,0.51,3,168,2,0,0,0,RandD,low
0.63,0.51,4,219,3,1,0,0,sales,low
0.39,0.48,2,115,3,0,0,0,sales,low
0.42,0.68,4,270,3,0,0,0,sales,low
0.13,0.94,6,233,4,1,1,0,technical,low
0.47,0.48,3,276,6,0,0,0,marketing,medium
0.7,0.95,3,262,6,0,0,0,technical,medium
0.49,0.56,3,164,2,0,0,0,sales,low
0.19,0.95,5,239,2,0,0,0,sales,medium
0.74,0.92,2,225,2,0,0,0,technical,medium
0.7,0.89,3,198,2,0,0,0,sales,low
0.75,0.51,2,146,3,0,1,0,IT,low
0.69,0.53,4,198,5,0,0,0,IT,low
0.64,0.76,3,119,3,0,0,0,accounting,low
0.65,0.51,4,275,3,0,0,0,RandD,low
0.71,0.93,4,201,3,0,0,0,sales,high
0.72,0.9,4,264,5,0,1,0,technical,medium
0.69,0.88,5,263,2,0,0,0,sales,medium
0.33,0.45,4,151,3,0,0,0,hr,low
0.35,0.59,2,149,3,0,0,0,sales,high
0.83,0.66,5,160,2,0,0,0,sales,medium
0.14,0.9,4,273,2,0,0,0,accounting,low
0.22,0.92,5,274,4,0,1,0,marketing,low
0.46,0.56,2,147,3,0,1,0,technical,low
0.9,0.71,5,181,7,0,0,0,support,low
0.49,0.59,5,188,2,0,0,0,sales,medium
0.19,0.89,4,195,5,0,1,0,IT,low
0.17,0.77,3,186,5,0,0,0,technical,medium
0.7,0.58,2,139,2,0,1,0,sales,medium
0.65,0.88,4,265,2,0,0,0,hr,medium
0.18,0.9,6,301,4,0,0,0,product_mng,low
0.16,0.98,4,251,2,0,0,0,technical,low
0.35,0.51,4,156,2,0,1,0,sales,low
0.92,0.53,5,272,3,0,1,0,accounting,low
0.33,0.53,2,144,3,1,1,0,sales,low
0.41,0.49,2,134,3,0,1,0,sales,medium
0.56,0.61,3,221,3,0,0,0,sales,medium
0.88,0.67,4,258,10,0,0,0,sales,low
0.6,0.6,4,226,2,0,0,0,sales,low
0.09,0.9,6,307,4,0,1,0,hr,low
0.38,0.51,4,154,3,0,0,0,sales,medium
0.47,0.48,2,145,3,0,0,0,sales,low
